,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,path_len,path_count,sla
0,1,1,50,25,0.01,0.3,1,2,2000,1,0.6483890780336423
1,1,2,50,25,0.01,0.3,1,2,2000,1,0.6565084754890107
2,1,3,50,25,0.01,0.3,1,2,2000,1,0.5178043756555109
3,1,4,50,25,0.01,0.3,1,2,2000,1,0.45938718623375374
4,1,5,50,25,0.01,0.3,1,2,2000,1,0.2134620226799489
5,1,6,50,25,0.01,0.3,1,2,2000,1,0.7960045759694183
6,1,7,50,25,0.01,0.3,1,2,2000,1,0.3467494854599463
7,1,8,50,25,0.01,0.3,1,2,2000,1,0.010345516282195714
8,1,9,50,25,0.01,0.3,1,2,2000,1,0.5528236945645288
9,1,10,50,25,0.01,0.3,1,2,2000,1,0.45970121777848316
10,1,11,50,25,0.01,0.3,1,2,2000,1,0.9455819051858786
11,1,12,50,25,0.01,0.3,1,2,2000,1,0.7173615473129492
12,1,13,50,25,0.01,0.3,1,2,2000,1,0.7132691546111728
13,1,14,50,25,0.01,0.3,1,2,2000,1,0.04565972236705934
14,1,15,50,25,0.01,0.3,1,2,2000,1,0.32403701279626906
15,1,16,50,25,0.01,0.3,1,2,2000,1,0.9031332710921918
16,1,17,50,25,0.01,0.3,1,2,2000,1,0.985504162108187
17,1,18,50,25,0.01,0.3,1,2,2000,1,0.978204327293266
18,1,19,50,25,0.01,0.3,1,2,2000,1,0.9893782985493904
19,1,20,50,25,0.01,0.3,1,2,2000,1,0.829319047817999
20,1,21,50,25,0.01,0.3,1,2,2000,1,0.18566794173324036
21,1,22,50,25,0.01,0.3,1,2,2000,1,0.04613626921226155
22,1,23,50,25,0.01,0.3,1,2,2000,1,0.0314879387904986
23,1,24,50,25,0.01,0.3,1,2,2000,1,0.016183767705058662
24,1,25,50,25,0.01,0.3,1,2,2000,1,0.014371639926481172
25,1,26,50,25,0.01,0.3,1,2,2000,1,0.0013528392732240911
26,1,27,50,25,0.01,0.3,1,2,2000,1,0.0013103858145159005
27,1,28,50,25,0.01,0.3,1,2,2000,1,0.36239722018721027
28,1,29,50,25,0.01,0.3,1,2,2000,1,9.776317185854724e-06
29,1,30,50,25,0.01,0.3,1,2,2000,1,0.7230602417575371
30,1,31,50,25,0.01,0.3,1,2,2000,1,0.9532632705560561
31,1,32,50,25,0.01,0.3,1,2,2000,1,0.825677606472909
32,1,33,50,25,0.01,0.3,1,2,2000,1,0.013759649652949542
33,1,34,50,25,0.01,0.3,1,2,2000,1,0.007466588025677239
34,1,35,50,25,0.01,0.3,1,2,2000,1,0.15184678338183522
35,1,36,50,25,0.01,0.3,1,2,2000,1,0.5065559069302341
36,1,37,50,25,0.01,0.3,1,2,2000,1,0.014521586292912215
37,1,38,50,25,0.01,0.3,1,2,2000,1,0.9018785669674638
38,1,39,50,25,0.01,0.3,1,2,2000,1,0.016013653118293288
39,1,40,50,25,0.01,0.3,1,2,2000,1,0.08415211835362141
40,1,41,50,25,0.01,0.3,1,2,2000,1,0.0003325921041245418
41,1,42,50,25,0.01,0.3,1,2,2000,1,0.00011776524420650922
42,1,43,50,25,0.01,0.3,1,2,2000,1,0.6611075767767689
43,1,44,50,25,0.01,0.3,1,2,2000,1,0.005380653859705296
44,1,45,50,25,0.01,0.3,1,2,2000,1,0.5853104074018185
45,1,46,50,25,0.01,0.3,1,2,2000,1,0.9841953550639866
46,1,47,50,25,0.01,0.3,1,2,2000,1,0.9870457136530978
47,1,48,50,25,0.01,0.3,1,2,2000,1,0.001802234126648064
48,1,49,50,25,0.01,0.3,1,2,2000,1,0.7679692583120479
49,1,50,50,25,0.01,0.3,1,2,2000,1,0.006236355696191085
50,2,1,50,25,0.01,0.3,1,2,2000,1,2.040900210008297e-47
51,2,2,50,25,0.01,0.3,1,2,2000,1,5.873435648517088e-71
52,2,3,50,25,0.01,0.3,1,2,2000,1,2.7223838507280823e-62
53,2,4,50,25,0.01,0.3,1,2,2000,1,1.308037831175575e-36
54,2,5,50,25,0.01,0.3,1,2,2000,1,4.052169684012324e-66
55,2,6,50,25,0.01,0.3,1,2,2000,1,7.226034776930395e-51
56,2,7,50,25,0.01,0.3,1,2,2000,1,8.91315877362419e-27
57,2,8,50,25,0.01,0.3,1,2,2000,1,2.746621151112966e-38
58,2,9,50,25,0.01,0.3,1,2,2000,1,1.079215048941262e-54
59,2,10,50,25,0.01,0.3,1,2,2000,1,2.7558694466093476e-52
60,2,11,50,25,0.01,0.3,1,2,2000,1,1.0183297421142348e-59
61,2,12,50,25,0.01,0.3,1,2,2000,1,3.1199981532948676e-68
62,2,13,50,25,0.01,0.3,1,2,2000,1,1.5933230238972357e-44
63,2,14,50,25,0.01,0.3,1,2,2000,1,2.0127627287580447e-48
64,2,15,50,25,0.01,0.3,1,2,2000,1,4.9531906404745756e-45
65,2,16,50,25,0.01,0.3,1,2,2000,1,4.453574009971484e-30
66,2,17,50,25,0.01,0.3,1,2,2000,1,2.3520757618502834e-34
67,2,18,50,25,0.01,0.3,1,2,2000,1,4.971274021060752e-73
68,2,19,50,25,0.01,0.3,1,2,2000,1,4.986365288244104e-40
69,2,20,50,25,0.01,0.3,1,2,2000,1,1.128469110794892e-27
70,2,21,50,25,0.01,0.3,1,2,2000,1,2.1312514647324054e-50
71,2,22,50,25,0.01,0.3,1,2,2000,1,1.603486783991226e-26
72,2,23,50,25,0.01,0.3,1,2,2000,1,1.7952286084719362e-49
73,2,24,50,25,0.01,0.3,1,2,2000,1,1.873664588251669e-68
74,2,25,50,25,0.01,0.3,1,2,2000,1,5.968332029044142e-83
75,2,26,50,25,0.01,0.3,1,2,2000,1,1.2912886035312978e-81
76,2,27,50,25,0.01,0.3,1,2,2000,1,3.6426217525932564e-45
77,2,28,50,25,0.01,0.3,1,2,2000,1,1.353057681816912e-54
78,2,29,50,25,0.01,0.3,1,2,2000,1,4.8517169061159165e-31
79,2,30,50,25,0.01,0.3,1,2,2000,1,4.3784737449953217e-48
80,2,31,50,25,0.01,0.3,1,2,2000,1,8.713295240477353e-41
81,2,32,50,25,0.01,0.3,1,2,2000,1,8.141710995267986e-46
82,2,33,50,25,0.01,0.3,1,2,2000,1,1.5816040764062447e-22
83,2,34,50,25,0.01,0.3,1,2,2000,1,1.639216880387879e-36
84,2,35,50,25,0.01,0.3,1,2,2000,1,3.3526735466255284e-27
85,2,36,50,25,0.01,0.3,1,2,2000,1,1.1618541913896356e-38
86,2,37,50,25,0.01,0.3,1,2,2000,1,2.7305667906961326e-38
87,2,38,50,25,0.01,0.3,1,2,2000,1,1.217577485361198e-52
88,2,39,50,25,0.01,0.3,1,2,2000,1,1.0327219248188536e-50
89,2,40,50,25,0.01,0.3,1,2,2000,1,3.4253934231188836e-61
90,2,41,50,25,0.01,0.3,1,2,2000,1,1.1213109080769535e-35
91,2,42,50,25,0.01,0.3,1,2,2000,1,1.0698313967940791e-38
92,2,43,50,25,0.01,0.3,1,2,2000,1,1.3507696586172903e-38
93,2,44,50,25,0.01,0.3,1,2,2000,1,4.585682477176784e-24
94,2,45,50,25,0.01,0.3,1,2,2000,1,2.3626794625408047e-25
95,2,46,50,25,0.01,0.3,1,2,2000,1,1.2656706704097976e-53
96,2,47,50,25,0.01,0.3,1,2,2000,1,1.976568899186792e-30
97,2,48,50,25,0.01,0.3,1,2,2000,1,4.0596158346439274e-92
98,2,49,50,25,0.01,0.3,1,2,2000,1,2.769630983791656e-22
99,2,50,50,25,0.01,0.3,1,2,2000,1,9.213221629214502e-60
100,3,1,50,25,0.01,0.3,1,2,2000,1,9.764771373510724e-06
101,3,2,50,25,0.01,0.3,1,2,2000,1,8.757538898833372e-11
102,3,3,50,25,0.01,0.3,1,2,2000,1,1.706217746137708e-08
103,3,4,50,25,0.01,0.3,1,2,2000,1,6.7769467053363235e-06
104,3,5,50,25,0.01,0.3,1,2,2000,1,0.0012501488230985403
105,3,6,50,25,0.01,0.3,1,2,2000,1,9.30889744136313e-06
106,3,7,50,25,0.01,0.3,1,2,2000,1,0.0028909138458940876
107,3,8,50,25,0.01,0.3,1,2,2000,1,3.5658034478957954e-05
108,3,9,50,25,0.01,0.3,1,2,2000,1,1.678985664170484e-05
109,3,10,50,25,0.01,0.3,1,2,2000,1,1.3187981742872568e-09
110,3,11,50,25,0.01,0.3,1,2,2000,1,2.685413813295558e-06
111,3,12,50,25,0.01,0.3,1,2,2000,1,0.0013467340962497742
112,3,13,50,25,0.01,0.3,1,2,2000,1,0.012635293024678345
113,3,14,50,25,0.01,0.3,1,2,2000,1,2.883681367824575e-07
114,3,15,50,25,0.01,0.3,1,2,2000,1,9.680416666773764e-05
115,3,16,50,25,0.01,0.3,1,2,2000,1,0.00212805609911842
