,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,priority_min,priority_max,path_len,path_count,sla
0,1,1,25,26,0.01,0.3,1,2,1,1,2000,1,4.126245351702005e-05
1,1,2,25,26,0.01,0.3,1,2,1,1,2000,1,0.0017433152442749066
2,1,3,25,26,0.01,0.3,1,2,1,1,2000,1,8.783939565058517e-07
3,1,4,25,26,0.01,0.3,1,2,1,1,2000,1,4.729224687779894e-06
4,1,5,25,26,0.01,0.3,1,2,1,1,2000,1,0.0001901554298126642
5,1,6,25,26,0.01,0.3,1,2,1,1,2000,1,3.917360336286084e-05
6,1,7,25,26,0.01,0.3,1,2,1,1,2000,1,0.0008454004562775826
7,1,8,25,26,0.01,0.3,1,2,1,1,2000,1,7.630963064229323e-05
8,1,9,25,26,0.01,0.3,1,2,1,1,2000,1,9.219088916598796e-05
9,1,10,25,26,0.01,0.3,1,2,1,1,2000,1,1.8355542609811242e-07
10,1,11,25,26,0.01,0.3,1,2,1,1,2000,1,0.0008712788200980398
11,1,12,25,26,0.01,0.3,1,2,1,1,2000,1,0.00016618919497982646
12,1,13,25,26,0.01,0.3,1,2,1,1,2000,1,0.00010417633909080544
13,1,14,25,26,0.01,0.3,1,2,1,1,2000,1,0.0009305709379790135
14,1,15,25,26,0.01,0.3,1,2,1,1,2000,1,0.0001894215508653407
15,1,16,25,26,0.01,0.3,1,2,1,1,2000,1,3.7262660576387024e-05
16,1,17,25,26,0.01,0.3,1,2,1,1,2000,1,2.479487110506633e-05
17,1,18,25,26,0.01,0.3,1,2,1,1,2000,1,9.92717649022882e-05
18,1,19,25,26,0.01,0.3,1,2,1,1,2000,1,2.659359263789215e-05
19,1,20,25,26,0.01,0.3,1,2,1,1,2000,1,0.00011154508451975216
20,1,21,25,26,0.01,0.3,1,2,1,1,2000,1,0.00018526452860410144
21,1,22,25,26,0.01,0.3,1,2,1,1,2000,1,0.0002405306348227221
22,1,23,25,26,0.01,0.3,1,2,1,1,2000,1,4.049314860158667e-06
23,1,24,25,26,0.01,0.3,1,2,1,1,2000,1,1.0631729000377925e-05
24,1,25,25,26,0.01,0.3,1,2,1,1,2000,1,2.68993169826953e-07
25,2,1,25,26,0.01,0.3,1,2,1,1,2000,1,3.5096793179929765e-64
26,2,2,25,26,0.01,0.3,1,2,1,1,2000,1,6.245548992242685e-51
27,2,3,25,26,0.01,0.3,1,2,1,1,2000,1,1.3324982486946982e-90
